source_id,name,concept_id,vertex_count,triangle_count
FJ3193,Distal phalanx of right index finger,FMA24460,187,208
FJ3194,Distal phalanx of right little finger,FMA24463,138,184
FJ3196,Distal phalanx of right middle finger,FMA24461,141,170
FJ3197,Distal phalanx of right ring finger,FMA24462,114,112
FJ3198,Distal phalanx of right thumb,FMA24459,181,228
FJ3292,Middle phalanx of right ring finger,FMA24457,214,306
FJ3303,Middle phalanx of right index finger,FMA24455,186,256
FJ3304,Middle phalanx of right little finger,FMA24458,168,206
FJ3306,Middle phalanx of right middle finger,FMA24456,221,330
FJ3322,Proximal phalanx of right index finger,FMA24451,213,360
FJ3323,Proximal phalanx of right little finger,FMA24454,186,312
FJ3325,Proximal phalanx of right middle finger,FMA24452,266,448
FJ3326,Proximal phalanx of right ring finger,FMA24453,202,364
FJ3327,Proximal phalanx of right thumb,FMA24450,196,316
FJ3350,Right first metacarpal bone,FMA24464,287,526
FJ3352,Right second metacarpal bone,FMA24466,347,610
FJ3354,Right third metacarpal bone,FMA24468,345,586
FJ3356,Right fourth metacarpal bone,FMA24470,280,422
FJ3358,Right fifth metacarpal bone,FMA24472,236,428
FJ3361,Right capitate,FMA24446,245,406
FJ3367,Right hamate,FMA24448,316,490
FJ3374,Right lunate,FMA24437,191,324
FJ3382,Right pisiform,FMA24441,110,190
FJ3383,Right scaphoid,FMA24435,185,302
FJ3388,Right trapezium,FMA24443,272,424
FJ3389,Right trapezoid,FMA23725,267,354
FJ3390,Right triquetral,FMA24439,139,170
